ID,Name,Concepticon_ID,Concepticon_Gloss
7_among,among,,
8_and,and,1577,AND
9_angry,angry,1826,ANGRY
10_animal,animal,619,ANIMAL
11_ankle,ankle,803,ANKLE
12_toanswer,to answer,1275,ANSWER
13_antgeneric,ant (generic),587,ANT
14_antblack,ant (black),,
15_antred,ant (red),,
16_antwhitetermite,ant (white-termite),883,TERMITE
17_arm,arm,1673,ARM
18_armlet,armlet,,
19_toarrive,to arrive,1387,ARRIVE
20_arrow,arrow,977,ARROW
21_toascend,to ascend,705,GO UP (ASCEND)
22_ashes,ashes,646,ASH
23_toaskaquestion,to ask (a question),1309,ASK (INQUIRE)
24_toaskfor,to ask for,1828,ASK (REQUEST)
25_at,at,1461,AT
26_aunt,aunt,1272,AUNT
27_toawaketoawaken,"to awake, to awaken",825,AWAKE
28_axe,axe,677,AXE
29_baby,baby,1289,BABY
30_backofthebody,Back (of the body),1291,BACK
31_bad,bad,1292,BAD
32_bag,bag,2468,BAG
33_bamboo,bamboo,1927,BAMBOO
34_banana,banana,868,BANANA
35_bankedge,Bank (edge),3463,RIVERBANK
36_barkoftree,Bark (of tree),1204,BARK
37_basketgeneric,Basket (generic),1539,BASKET
38_basketbackmans,"Basket (back,man's)",,
39_basketbackwomans,"Basket (back,woman's)",,
40_basketlargestorage,"Basket (large,storage)",,
41_batanimal,Bat (animal),1793,BAT
42_tobe,to be,1579,BE
43_bead,bead,1860,BEAD
44_beam,beam,1132,BEAM
45_bean,bean,832,BEAN
46_abear,a bear,1820,BEAR
47_tobearachild,to bear (a child),1195,GIVE BIRTH
48_tobearfruit,to bear (fruit),3054,BEAR FRUIT
49_beard,beard,678,BEARD
50_tobeat,to beat,1665,BEAT
51_beautiful,beautiful,1427,BEAUTIFUL
52_because,because,1157,BECAUSE
53_tobecome,to become,1990,BECOME
54_bed,bed,1663,BED
55_bee,bee,665,BEE
56_beetle,beetle,2242,BEETLE
57_before,before,1882,BEFORE
58_tobegin,to begin,3447,BEGIN OR START
59_tobelieve,to believe,1890,BELIEVE
60_bellows,bellows,3658,BELLOWS
61_belly,belly,1251,BELLY
62_beltgirdle,belt (girdle),772,BELT
63_beltforweaving,belt (for weaving),,
64_betelleaf,betel (leaf),,
65_betelnut,betel (nut),,
66_between,between,689,BETWEEN
67_big,big,1202,BIG
68_tobind,to bind,1917,TIE
69_bird,bird,937,BIRD
70_tobite,to bite,1403,BITE
71_bitter,bitter,887,BITTER
72_black,black,163,BLACK
73_bladder,bladder,1746,BLADDER
74_tobless,to bless,391,BLESS
75_blind,blind,1653,BLIND
76_blood,blood,946,BLOOD
77_toblow,to blow,176,BLOW (WITH MOUTH)
78_blunt,blunt,379,BLUNT
79_boat,boat,1844,BOAT
80_body,body,1480,BODY
81_toboil,to boil,2493,BOIL
82_bone,bone,1394,BONE
83_book,book,963,BOOK
84_bowforshooting,bow (for shooting),994,BOW
85_box,box,1465,BOX
86_boy,boy,1366,BOY
87_bracelet,bracelet,1754,BRACELET
88_brain,brain,1583,BRAIN
89_branch,branch,1531,BRANCH
90_brass,brass,3743,BRASS
91_brave,brave,3,BRAVE
92_bread,bread,1368,BREAD
93_tobreak,to break,680,BREAK (DESTROY OR GET DESTROYED)
94_breast,breast,1402,BREAST
95_tobreathe,to breathe,1407,BREATHE
96_bride,bride,1266,BRIDE
97_bridge,bridge,1011,BRIDGE
98_tobring,to bring,692,BRING
99_brinjalbenganeggplant,"brinjal (bengan, egg plant)",1146,AUBERGINE
100_broad,broad,2531,BROAD
101_broom,broom,245,BROOM
102_brotherelder,brother (elder),1759,OLDER BROTHER
103_brotheryounger,brother (younger),1760,YOUNGER BROTHER
104_bud,bud,1684,BUD
105_buffalo,buffalo,934,BUFFALO
106_bug,bug,1027,BUG
107_tobuild,to build,1840,BUILD
108_bull,bull,1008,BULL
109_bullet,bullet,1114,BULLET
110_toburn,to burn,2102,BURN
111_tobury,to bury,1719,BURY
112_bush,bush,1683,BUSH
113_but,but,3843,BUT
114_butterfly,butterfly,1791,BUTTERFLY
115_tobuy,to buy,1869,BUY
116_bymeansof,by means of,,
117_calfofcow,calf (of cow),1989,CALF
118_calfofleg,calf (of leg),498,CALF OF LEG
121_cane,cane,,
122_tocarrygeneric,to carry (generic),700,CARRY
123_tocarryinhand,to carry (in hand),412,CARRY IN HAND
124_tocarryonback,to carry (on back),465,CARRY ON BACK
125_cat,cat,1208,CAT
126_tocatch,to catch,702,CATCH
127_caterpillar,caterpillar,2247,CATERPILLAR
128_cattle,cattle,1153,CATTLE
129_cave,cave,1155,CAVE
130_centipede,centipede,1974,CENTIPEDE
131_chaff,chaff,2363,CHAFF (HUSK)
132_chair,chair,1476,CHAIR
133_charcoal,charcoal,1188,CHARCOAL
134_cheap,cheap,1887,CHEAP
135_cheek,cheek,1730,CHEEK
136_chestofbody,chest (of body),1592,CHEST
137_chicken,chicken,1318,CHICKEN
138_achief,a chief,301,CHIEFTAIN
139_child,child,2099,CHILD
140_chillie,chillie,919,CHILI PEPPER
141_thechin,the chin,1510,CHIN
142_tochoose,to choose,1750,CHOOSE
143_claw,claw,72,CLAW
144_clay,clay,1399,CLAY
145_clean,clean,704,CLEAN
146_toclimb,to climb,1102,CLIMB
147_clock,clock,1323,CLOCK
148_cloth,cloth,1616,CLOTH
149_clothes,clothes,1895,CLOTHES
150_cloud,cloud,1489,CLOUD
151_coat,coat,603,COAT
152_cock,cock,1511,ROOSTER
153_cold,cold,1287,COLD
154_comb,comb,1475,COMB
155_tocome,to come,1446,COME
156_tocook,to cook,1100,COOK (SOMETHING)
157_copper,copper,1825,COPPER
158_cotton,cotton,1850,COTTON
