ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
KhonomaAngami-648_seventy-1,,KhonomaAngami,648_seventy,lhi◦thena,lhi◦thena,lh/l̥ i + tʰ e n a,,Marrison1967,,,^ lh i ◦ th e n a$,default
KhonomaAngami-11_ankle-1,,KhonomaAngami,11_ankle,phi◦mhi,phi◦mhi,pʰ i + mh/m̥ i,,Marrison1967,,,^ ph i ◦ mh i$,default
KhonomaAngami-17_arm-1,,KhonomaAngami,17_arm,bu,bu,b u,,Marrison1967,,,^ b u$,default
KhonomaAngami-30_backofthebody-1,,KhonomaAngami,30_backofthebody,che,che,ch/tɕʰ e,,Marrison1967,,,^ ch e$,default
KhonomaAngami-49_beard-1,,KhonomaAngami,49_beard,tama,tama,t a m a,,Marrison1967,,,^ t a m a$,default
KhonomaAngami-61_belly-1,,KhonomaAngami,61_belly,va,va,v a,,Marrison1967,,,^ v a$,default
KhonomaAngami-73_bladder-1,,KhonomaAngami,73_bladder,ze,ze,z e,,Marrison1967,,,^ z e$,default
KhonomaAngami-76_blood-1,,KhonomaAngami,76_blood,teza,teza,t e z a,,Marrison1967,,,^ t e z a$,default
KhonomaAngami-80_body-1,,KhonomaAngami,80_body,mo,mo,m o,,Marrison1967,,,^ m o$,default
KhonomaAngami-82_bone-1,,KhonomaAngami,82_bone,ru,ru,r u,,Marrison1967,,,^ r u$,default
KhonomaAngami-88_brain-1,,KhonomaAngami,88_brain,khru,khru,kʰ r u,,Marrison1967,,,^ kh r u$,default
KhonomaAngami-94_breast-1,,KhonomaAngami,94_breast,nu,nu,n u,,Marrison1967,,,^ n u$,default
KhonomaAngami-118_calfofleg-1,,KhonomaAngami,118_calfofleg,phi◦tsa,phi◦tsa,pʰ i + ts a,,Marrison1967,,,^ ph i ◦ ts a$,default
KhonomaAngami-135_cheek-1,,KhonomaAngami,135_cheek,dze,dze,d z e,,Marrison1967,,,^ d z e$,default
KhonomaAngami-136_chestofbody-1,,KhonomaAngami,136_chestofbody,ka,ka,k a,,Marrison1967,,,^ k a$,default
KhonomaAngami-141_thechin-1,,KhonomaAngami,141_thechin,makwü,makwü,m a k w ə,,Marrison1967,,,^ m a kw ü$,default
KhonomaAngami-217_ear-1,,KhonomaAngami,217_ear,nie,nie,n i e,,Marrison1967,,,^ n i e$,default
KhonomaAngami-229_elbow-1,,KhonomaAngami,229_elbow,bu◦thu,bu◦thu,b u + tʰ u,,Marrison1967,,,^ b u ◦ th u$,default
KhonomaAngami-240_eye-1,,KhonomaAngami,240_eye,mhi,mhi,mh/m̥ i,,Marrison1967,,,^ mh i$,default
KhonomaAngami-241_face-1,,KhonomaAngami,241_face,ze,ze,z e,,Marrison1967,,,^ z e$,default
KhonomaAngami-252_feather-1,,KhonomaAngami,252_feather,parama,parama,p a r a m a,,Marrison1967,,,^ p a r a m a$,default
KhonomaAngami-265_finger-1,,KhonomaAngami,265_finger,bicheno,bicheno,b i ch/tɕʰ e n o,,Marrison1967,,,^ b i ch e n o$,default
KhonomaAngami-285_foot-1,,KhonomaAngami,285_foot,phi◦zhe,phi◦zhe,pʰ i + zh/ʒ e,,Marrison1967,,,^ ph i ◦ zh e$,default
KhonomaAngami-287_forehead-1,,KhonomaAngami,287_forehead,tikha,tikha,t i kʰ a,,Marrison1967,,,^ t i kh a$,default
KhonomaAngami-328_hairofhead-1,,KhonomaAngami,328_hairofhead,tha,tha,tʰ a,,Marrison1967,,,^ th a$,default
KhonomaAngami-329_hairofbody-1,,KhonomaAngami,329_hairofbody,ma,ma,m a,,Marrison1967,,,^ m a$,default
