ID	CONCEPT	GRAPHEMES	DOCULECT	IPA	TOKENS
1	to make	yanglu	Ao-Chungli	jaŋlu	j a ŋ l u
2	beard	bangsem	Ao-Chungli	baŋsem	b a ŋ s e m
3	axe	po	Ao-Chungli	po	p o
4	lamp	totsü	Ao-Chungli	totsə	t o t s ə
5	lamp	milen	Ao-Chungli	milen	m i l e n
6	to become	aküm	Ao-Chungli	akəm	a k ə m
7	window	tanedangtsü	Ao-Chungli	tanedaŋtsə	t a n e d a ŋ t s ə
8	again	tanaben	Ao-Chungli	tanaben	t a n a b e n
9	like(as)	ama	Ao-Chungli	ama	a m a
10	frog	allu	Ao-Chungli	allu	a l l u
11	soul	tanela	Ao-Chungli	tanela	t a n e l a
12	owner	kibur	Ao-Chungli	kibur	k i b u r
13	market	wati	Ao-Chungli	wati	w a t i
14	market	shishidak	Ao-Chungli	ʃiʃidak	ʃ i ʃ i d a k
15	high	telangka	Ao-Chungli	telaŋka	t e l a ŋ k a
16	eye	tenük	Ao-Chungli	tenək	t e n ə k
17	ladle		Ao-Chungli		
18	serow	shiwu	Ao-Chungli	ʃiwu	ʃ i w u
19	locust	atatangko	Ao-Chungli	atataŋko	a t a t a ŋ k o
20	to arrive	atong	Ao-Chungli	atoŋ	a t o ŋ
21	horn	tezü	Ao-Chungli	tezə	t e z ə
22	fourteen	teripezü	Ao-Chungli	teripezə	t e r i p e z ə
23	to fill	asung	Ao-Chungli	asuŋ	a s u ŋ
24	sugar	mojitsü	Ao-Chungli	moɟ͡ʝitsə	m o ɟ͡ʝ i t s ə
25	big	tulu	Ao-Chungli	tulu	t u l u
26	to receive	agi	Ao-Chungli	agi	a g i
27	to push	anung	Ao-Chungli	anuŋ	a n u ŋ
28	to shine	apu	Ao-Chungli	apu	a p u
29	to shine	yar	Ao-Chungli	jar	j a r
30	palm(of hand)	tekabo	Ao-Chungli	tekabo	t e k a b o
31	bull	nashi-pungchi	Ao-Chungli	naʃi+puŋc͡çʰi	n a ʃ i + p u ŋ c͡çʰ i
32	roof	kilim	Ao-Chungli	kilim	k i l i m
33	to teach	sayu	Ao-Chungli	saju	s a j u
34	flood	tzü-atsung-bang	Ao-Chungli	ɟ͡ʝə+atsuŋ+baŋ	ɟ͡ʝ ə + a t s u ŋ + b a ŋ
35	stone	lung	Ao-Chungli	luŋ	l u ŋ
36	to eat	achi	Ao-Chungli	ac͡çʰi	a c͡çʰ i
37	bride	taniokla	Ao-Chungli	taniokla	t a n i o k l a
38	basket(large,storage)	jangbong	Ao-Chungli	ɟ͡ʝaŋboŋ	ɟ͡ʝ a ŋ b o ŋ
39	full	asung	Ao-Chungli	asuŋ	a s u ŋ
40	mouth	tebang	Ao-Chungli	tebaŋ	t e b a ŋ
41	flea	razübong	Ao-Chungli	razəboŋ	r a z ə b o ŋ
42	to talk	o-zümbi	Ao-Chungli	o+zəmbi	o + z ə m b i
43	fast(quick)	tekara	Ao-Chungli	tekara	t e k a r a
44	to smile		Ao-Chungli		
45	belly	tepok	Ao-Chungli	tepok	t e p o k
46	yellow	tenenya	Ao-Chungli	tenenja	t e n e n j a
47	sixteen	teritrok	Ao-Chungli	teritrok	t e r i t r o k
48	throat	terok	Ao-Chungli	terok	t e r o k
49	buffalo	jangbong	Ao-Chungli	ɟ͡ʝaŋboŋ	ɟ͡ʝ a ŋ b o ŋ
50	a stick	song	Ao-Chungli	soŋ	s o ŋ
51	bamboo	lungmi	Ao-Chungli	luŋmi	l u ŋ m i
52	bamboo	ao	Ao-Chungli	ao	a o
53	to kill	tepset	Ao-Chungli	tepset	t e p s e t
54	hair(of body)	tejung	Ao-Chungli	teɟ͡ʝuŋ	t e ɟ͡ʝ u ŋ
55	pumpkin	koromeja	Ao-Chungli	koromeɟ͡ʝa	k o r o m e ɟ͡ʝ a
56	to save	kümzük	Ao-Chungli	kəmzək	k ə m z ə k
57	and	aser	Ao-Chungli	aser	a s e r
58	bead	ajük	Ao-Chungli	aɟ͡ʝək	a ɟ͡ʝ ə k
59	mosquito	merila	Ao-Chungli	merila	m e r i l a
60	to serve	tenzük	Ao-Chungli	tenzək	t e n z ə k
61	then	ajangla	Ao-Chungli	aɟ͡ʝaŋla	a ɟ͡ʝ a ŋ l a
62	then	idangji	Ao-Chungli	idaŋɟ͡ʝi	i d a ŋ ɟ͡ʝ i
63	grandmother	otzü	Ao-Chungli	oɟ͡ʝə	o ɟ͡ʝ ə
64	thirty	semer	Ao-Chungli	semer	s e m e r
65	to awake, to awaken	saka	Ao-Chungli	saka	s a k a
66	to wait	ata-ali	Ao-Chungli	ata+ali	a t a + a l i
67	juice	tzü	Ao-Chungli	ɟ͡ʝə	ɟ͡ʝ ə
68	tall	talangka	Ao-Chungli	talaŋka	t a l a ŋ k a
69	pig(wild)	pungzü	Ao-Chungli	puŋzə	p u ŋ z ə
70	to gather	benden	Ao-Chungli	benden	b e n d e n
71	shoe	tsungsem	Ao-Chungli	tsuŋsem	t s u ŋ s e m
72	clay	ajungli	Ao-Chungli	aɟ͡ʝuŋli	a ɟ͡ʝ u ŋ l i
73	to cut(with axe)	aleu	Ao-Chungli	aleu	a l e u
74	tobacco	moko	Ao-Chungli	moko	m o k o
75	rotten	teshirep	Ao-Chungli	teʃirep	t e ʃ i r e p
76	to run	asüm	Ao-Chungli	asəm	a s ə m
77	mithan(gayal, bos fontalis)	sü	Ao-Chungli	sə	s ə
78	to desire	nü	Ao-Chungli	nə	n ə
79	pot	po	Ao-Chungli	po	p o
80	to order	ozüng-ashiba	Ao-Chungli	ozəŋ+aʃiba	o z ə ŋ + a ʃ i b a
81	to beat	azük	Ao-Chungli	azək	a z ə k
82	without(sine)	meteni	Ao-Chungli	meteni	m e t e n i
