"ID","NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS","ENGLISH_in_STEDT","ENGLISH_in_source"
"Marrison-1967-917-180",180,"to cut (generic)",1432,"CUT","to cut (generic)","to cut (generic)"
"Marrison-1967-917-181",181,"to cut (with knife)",2156,"CUT (WITH KNIFE)","to cut (with knife)","to cut (with knife)"
"Marrison-1967-917-182",182,"to cut (with axe)",155,"CHOP","to cut (with axe)","to cut (with axe)"
"Marrison-1967-917-183",183,"dance",1879,"DANCE","dance","to dance"
"Marrison-1967-917-184",184,"dao",,,"dao","dao"
"Marrison-1967-917-185",185,"dark",706,"DARK","dark","dark"
"Marrison-1967-917-186",186,"daughter",1357,"DAUGHTER","daughter","daughter"
"Marrison-1967-917-187",187,"dawn",729,"DAWN","dawn","dawn"
"Marrison-1967-917-188",188,"day",1225,"DAY (NOT NIGHT)","day","day"
"Marrison-1967-917-189",189,"deaf",996,"DEAF","deaf","deaf"
"Marrison-1967-917-190",190,"dear (expensive)",1426,"EXPENSIVE","dear (expensive)","dear (expensive)"
"Marrison-1967-917-191",191,"deceive",1902,"BETRAY","deceive","to deceive"
"Marrison-1967-917-192",192,"deep",1593,"DEEP","deep","deep"
"Marrison-1967-917-193",193,"deer (generic)",1936,"DEER","deer (generic)","deer (generic)"
"Marrison-1967-917-194",194,"deer (barking)",3152,"MUNTJACS","deer (barking)","deer (barking)"
"Marrison-1967-917-195",195,"deer (sambhur)",,,"deer (sambhur)","deer (sambhur)"
"Marrison-1967-917-196",196,"descend",2014,"GO DOWN (DESCEND)","descend","to descend"
"Marrison-1967-917-197",197,"desire",2117,"DESIRE","desire","to desire"
"Marrison-1967-917-198",198,"dew",1977,"DEW","dew","dew"
"Marrison-1967-917-199",199,"diarrhea",1177,"DIARREA","diarrhea","diarrhoea"
"Marrison-1967-917-200",200,"die",1494,"DIE","die","to die"
"Marrison-1967-917-201",201,"difficult",584,"DIFFICULT","difficult","difficult"
"Marrison-1967-917-202",202,"dig",1418,"DIG","dig","to dig"
"Marrison-1967-917-203",203,"dirty",1230,"DIRTY","dirty","dirty"
"Marrison-1967-917-204",204,"dish",481,"DISH","dish","dish"
"Marrison-1967-917-205",205,"ditch",2002,"DITCH","ditch","ditch "
"Marrison-1967-917-206",206,"divide",1119,"DIVIDE","divide","to divide"
"Marrison-1967-917-207",207,"do",813,"DO","do","to do"
"Marrison-1967-917-208",208,"dog",2009,"DOG","dog","dog"
"Marrison-1967-917-209",209,"door",1567,"DOOR","door","door"
"Marrison-1967-917-210",210,"dove",1853,"DOVE","dove","dove"
"Marrison-1967-917-211",211,"down",1326,"DOWN","down","down"
"Marrison-1967-917-212",212,"dream",2374,"DREAM","dream","a dream"
"Marrison-1967-917-213",213,"drink",1401,"DRINK","drink","to drink"
"Marrison-1967-917-214",214,"drum",908,"DRUM","drum","drum"
"Marrison-1967-917-215",215,"dry",1398,"DRY","dry","dry"
"Marrison-1967-917-216",216,"duck",1360,"DUCK","duck","duck"
"Marrison-1967-917-217",217,"dumb",1492,"DUMB","dumb","dumb"
"Marrison-1967-917-218",218,"dung",2057,"DUNG (ANIMAL FAECES)","dung","dung"
"Marrison-1967-917-219",219,"dust",2,"DUST","dust","dust"
"Marrison-1967-917-220",220,"each",,,"each","each"
"Marrison-1967-917-221",221,"eagle",1905,"EAGLE","eagle","eagle"
"Marrison-1967-917-222",222,"ear",1247,"EAR","ear","ear"
"Marrison-1967-917-223",223,"early",672,"EARLY","early","early"
"Marrison-1967-917-224",224,"earring",770,"EARRING","earring","earring"
"Marrison-1967-917-225",225,"earth",965,"WORLD","earth","earth"
"Marrison-1967-917-226",226,"earthquake",6,"EARTHQUAKE","earthquake","earthquake"
"Marrison-1967-917-227",227,"east",1877,"EAST","east","east"
"Marrison-1967-917-228",228,"easy",686,"EASY","easy","easy"
"Marrison-1967-917-229",229,"eat",1336,"EAT","eat","to eat"
"Marrison-1967-917-230",230,"egg",744,"EGG","egg","egg"
"Marrison-1967-917-231",231,"egg (""bird-egg"")",,,"egg (""bird-egg"")",
"Marrison-1967-917-232",232,"eight",1705,"EIGHT","eight","eight"
"Marrison-1967-917-233",233,"eighteen",1713,"EIGHTEEN","eighteen","eighteen"
"Marrison-1967-917-234",234,"eighty",1722,"EIGHTY","eighty","eighty"
"Marrison-1967-917-235",235,"elbow",981,"ELBOW","elbow","elbow"
"Marrison-1967-917-236",236,"elephant",1290,"ELEPHANT","elephant","elephant"
"Marrison-1967-917-237",237,"eleven",1706,"ELEVEN","eleven","eleven"
"Marrison-1967-917-238",238,"elevent",,,"elevent",
"Marrison-1967-917-239",239,"empty",1624,"EMPTY","empty","empty"
"Marrison-1967-917-240",240,"end",742,"END (OF SPACE)","end","end"
"Marrison-1967-917-241",241,"enemy",1358,"ENEMY","enemy","enemy"
"Marrison-1967-917-242",242,"enough",1881,"ENOUGH","enough","enough"
"Marrison-1967-917-243",243,"enter",749,"ENTER","enter","to enter"
"Marrison-1967-917-244",244,"evening",1629,"EVENING","evening","evening"
"Marrison-1967-917-245",245,"every",98,"ALL","every","every"
"Marrison-1967-917-246",246,"extinguish",127,"EXTINGUISH","extinguish","to extinguish"
"Marrison-1967-917-247",247,"eye",1248,"EYE","eye","eye"
"Marrison-1967-917-248",248,"face",1560,"FACE","face","face"
"Marrison-1967-917-249",249,"faith",1890,"BELIEVE","faith","faith"
"Marrison-1967-917-250",250,"fall",1280,"FALL","fall","to fall"
"Marrison-1967-917-251",251,"false",3069,"FALSE","false","false"
"Marrison-1967-917-252",252,"far",1406,"FAR","far","far"
"Marrison-1967-917-253",253,"fast (quick)",1631,"FAST","fast (quick)","fast (quick)"
"Marrison-1967-917-254",254,"fast",303,"ABSTAIN FROM FOOD","fast","to fast"
"Marrison-1967-917-255",255,"fat",2095,"FAT (FOR NOURISHMENT)","fat","fat (noun)"
"Marrison-1967-917-256",256,"fat",1279,"FAT (OBESE)","fat","fat (adj.)"
"Marrison-1967-917-257",257,"father",1217,"FATHER","father","father"
"Marrison-1967-917-258",258,"fear",1419,"FEAR (BE AFRAID)","fear","to fear"
"Marrison-1967-917-259",259,"feather",1201,"FEATHER","feather","feather"
"Marrison-1967-917-260",260,"fell",463,"FELL (A TREE)","fell","to fell"
"Marrison-1967-917-261",261,"fence",1690,"FENCE","fence","fence"
"Marrison-1967-917-262",262,"fern",,,"fern","fern"
"Marrison-1967-917-263",263,"fever",1534,"FEVER","fever","fever"
"Marrison-1967-917-264",264,"few",1242,"FEW","few","few"
"Marrison-1967-917-265",265,"field",212,"FIELD","field","field"
"Marrison-1967-917-266",266,"fifteen",1709,"FIFTEEN","fifteen","fifteen"
"Marrison-1967-917-267",267,"fifty",1717,"FIFTY","fifty","fifty"
"Marrison-1967-917-268",268,"fig",322,"FIG","fig","fig"
"Marrison-1967-917-269",269,"fight",1423,"FIGHT","fight","to fight"
"Marrison-1967-917-270",270,"fill",2006,"FILL","fill","to fill"
"Marrison-1967-917-271",271,"find",719,"FIND","find","to find"
"Marrison-1967-917-272",272,"finger",1303,"FINGER","finger","finger"
"Marrison-1967-917-273",273,"finish",1766,"FINISH","finish","to finish"
"Marrison-1967-917-274",274,"fire",221,"FIRE","fire","fire"
"Marrison-1967-917-275",275,"first",728,"FIRST","first","first"
"Marrison-1967-917-276",276,"fish",227,"FISH","fish","fish"
"Marrison-1967-917-277",277,"five",493,"FIVE","five","five"
"Marrison-1967-917-278",278,"flat",1633,"FLAT","flat","flat"
"Marrison-1967-917-279",279,"flea",232,"FLEA","flea","flea"
"Marrison-1967-917-280",280,"flesh",2259,"FLESH","flesh","flesh"
"Marrison-1967-917-281",281,"flood",613,"HIGH TIDE","flood","flood"
"Marrison-1967-917-282",282,"floor",1632,"FLOOR","floor","floor"
"Marrison-1967-917-283",283,"flour",1594,"FLOUR","flour","flour"
"Marrison-1967-917-284",284,"flow",2003,"FLOW","flow","to flow"
"Marrison-1967-917-285",285,"flower",239,"FLOWER","flower","flower"
"Marrison-1967-917-286",286,"flute",777,"FLUTE","flute","flute"
"Marrison-1967-917-287",287,"fly",1504,"FLY (INSECT)","fly","a fly"
"Marrison-1967-917-288",288,"fly",1441,"FLY (MOVE THROUGH AIR)","fly","to fly"
"Marrison-1967-917-289",289,"follow",1085,"FOLLOW","follow","to follow"
"Marrison-1967-917-290",290,"food",256,"FOOD","food","food"
"Marrison-1967-917-291",291,"fool",1438,"FOOL","fool","fool"
"Marrison-1967-917-292",292,"foot",1301,"FOOT","foot","foot"
"Marrison-1967-917-293",293,"ford",2818,"FORD (CROSSING)","ford","ford"
"Marrison-1967-917-294",294,"forehead",123,"FOREHEAD","forehead","forehead"
"Marrison-1967-917-295",295,"foreigner",,,"foreigner","foreigner"
"Marrison-1967-917-296",296,"forest",420,"FOREST","forest","forest"
"Marrison-1967-917-297",297,"forget",1523,"FORGET","forget","to forget"
"Marrison-1967-917-298",298,"forgive",1528,"FORGIVE","forgive","to forgive"
"Marrison-1967-917-299",299,"forty",1716,"FORTY","forty","forty"
"Marrison-1967-917-300",300,"four",1500,"FOUR","four","four"
"Marrison-1967-917-301",301,"fourteen",2451,"FOURTEEN","fourteen","fourteen"
"Marrison-1967-917-302",302,"free (at liberty)",2316,"FREE","free (at liberty)","free (at liberty)"
"Marrison-1967-917-303",303,"friend",1325,"FRIEND","friend","friend"
"Marrison-1967-917-304",304,"frog",503,"FROG","frog","frog"
"Marrison-1967-917-305",305,"from",693,"FROM","from","from"
"Marrison-1967-917-306",306,"fruit",1507,"FRUIT","fruit","fruit"
"Marrison-1967-917-307",307,"full",1429,"FULL","full","full"
"Marrison-1967-917-308",308,"garden",586,"GARDEN","garden","garden"
"Marrison-1967-917-309",309,"garlic",2368,"GARLIC","garlic","garlic"
"Marrison-1967-917-310",310,"gather",7,"GATHER","gather","to gather"
"Marrison-1967-917-311",311,"get",694,"GET","get","to get"
"Marrison-1967-917-312",312,"ginger",2500,"GINGER","ginger","ginger"
"Marrison-1967-917-313",313,"girl",1646,"GIRL","girl","girl"
"Marrison-1967-917-314",314,"give",1447,"GIVE","give","to give"
"Marrison-1967-917-315",315,"glad",1495,"HAPPY","glad","glad (to be)"
"Marrison-1967-917-316",316,"go",695,"GO","go","to go"
"Marrison-1967-917-317",317,"go out",1107,"GO OUT","go out","to go out"
"Marrison-1967-917-318",318,"goat",1502,"GOAT","goat","goat"
"Marrison-1967-917-319",319,"God",1944,"GOD","God","God"
"Marrison-1967-917-320",320,"gold",1369,"GOLD","gold","gold"
"Marrison-1967-917-321",321,"good",1035,"GOOD","good","good"
"Marrison-1967-917-322",322,"gourd",411,"GOURD","gourd","gourd"
"Marrison-1967-917-323",323,"grandchild",1617,"GRANDCHILD","grandchild","grandchild"
"Marrison-1967-917-324",324,"grandfather",1383,"GRANDFATHER","grandfather","grandfather"
"Marrison-1967-917-325",325,"grandmother",1496,"GRANDMOTHER","grandmother","grandmother"
"Marrison-1967-917-326",326,"grass",606,"GRASS","grass","grass"
"Marrison-1967-917-327",327,"grasshopper",607,"GRASSHOPPER","grasshopper","grasshopper"
"Marrison-1967-917-328",328,"grave",1773,"GRAVE","grave","a grave"
"Marrison-1967-917-329",329,"great",1202,"BIG","great","great"
"Marrison-1967-917-330",330,"green",1425,"GREEN","green","green (colour)"
"Marrison-1967-917-331",331,"grind",1033,"GRIND","grind","to grind"
"Marrison-1967-917-332",332,"grow",479,"GROW","grow","to grow"
"Marrison-1967-917-333",333,"gum (of tree)",,,"gum (of tree)","gum (of tree)"
"Marrison-1967-917-334",334,"gun",1566,"GUN","gun","gun"
"Marrison-1967-917-335",335,"hair",,,"hair",
"Marrison-1967-917-336",336,"hair (of head)",2648,"HAIR (HEAD)","hair (of head)","hair (of head)"
"Marrison-1967-917-337",337,"hair (of body)",189,"HAIR (BODY)","hair (of body)","hair (of body)"
"Marrison-1967-917-338",338,"half",816,"HALF","half","half"
"Marrison-1967-917-339",339,"hand",1277,"HAND","hand","hand"
"Marrison-1967-917-340",340,"hard",1884,"HARD","hard","hard"
"Marrison-1967-917-341",341,"hat / helmet",1680,"HELMET","hat / helmet",
"Marrison-1967-917-342",342,"hat, helmet",1680,"HELMET","hat, helmet","hat, helmet"
"Marrison-1967-917-343",343,"hate",1607,"HATE","hate","to hate"
"Marrison-1967-917-344",344,"hawk",307,"HAWK","hawk","hawk"
"Marrison-1967-917-345",345,"he",1211,"HE","he","he"
"Marrison-1967-917-346",346,"head",1256,"HEAD","head","head"
"Marrison-1967-917-347",347,"heal",499,"CURE","heal","to heal"
"Marrison-1967-917-348",348,"hear",1408,"HEAR","hear","to hear"
"Marrison-1967-917-349",349,"heart",1223,"HEART","heart","heart"
"Marrison-1967-917-350",350,"hearth",185,"FIREPLACE","hearth","hearth"
"Marrison-1967-917-351",351,"heavy",1210,"HEAVY","heavy","heavy"
"Marrison-1967-917-352",352,"heddle",,,"heddle","heddle"
"Marrison-1967-917-353",353,"heel (""foot-chicken-egg"")",,,"heel (""foot-chicken-egg"")",
"Marrison-1967-917-354",354,"heel",980,"HEEL","heel","heel"
"Marrison-1967-917-355",355,"help",1897,"HELP","help","to help"
"Marrison-1967-917-356",356,"hen",1514,"HEN","hen","hen"
"Marrison-1967-917-357",357,"hen's egg",,,"hen's egg",
"Marrison-1967-917-358",358,"here",136,"HERE","here","here"
"Marrison-1967-917-359",359,"hide",2486,"HIDE","hide","to hide"
"Marrison-1967-917-360",360,"high",1265,"HIGH","high","high"
"Marrison-1967-917-361",361,"hill",614,"HILL","hill","hill"
"Marrison-1967-917-362",362,"hip",1745,"HIP","hip","hip"
"Marrison-1967-917-363",363,"hit",1433,"HIT","hit","to hit"
"Marrison-1967-917-364",364,"hoe",284,"HOE","hoe","hoe"
"Marrison-1967-917-365",365,"hold",1448,"HOLD","hold","to hold"
"Marrison-1967-917-366",366,"hole",1667,"HOLE","hole","hole"
"Marrison-1967-917-367",367,"honey",942,"HONEY","honey","honey"
"Marrison-1967-917-368",368,"hoof",152,"HOOF","hoof","hoof"
"Marrison-1967-917-369",369,"hook",1071,"HOOK","hook","hook"
"Marrison-1967-917-370",370,"hop",,,"hop","to hop"
