"ID","NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS","ENGLISH_in_STEDT","ENGLISH_in_source"
"Marrison-1967-917-1",1,"above",1741,"ABOVE",,"above"
"Marrison-1967-917-2",2,"after",1685,"AFTER",,"after"
"Marrison-1967-917-3",3,"again",204,"AGAIN",,"again"
"Marrison-1967-917-4",4,"all",98,"ALL",,"all"
"Marrison-1967-917-5",5,"alone",1964,"ALONE",,"alone"
"Marrison-1967-917-6",6,"also",,,,"also"
"Marrison-1967-917-7",7,"among",,,"among","among"
"Marrison-1967-917-8",8,"and",1577,"AND","and","and"
"Marrison-1967-917-9",9,"angry",1826,"ANGRY","angry","angry"
"Marrison-1967-917-10",10,"animal",619,"ANIMAL","animal","animal"
"Marrison-1967-917-11",11,"ankle",803,"ANKLE","ankle","ankle"
"Marrison-1967-917-12",12,"answer",1275,"ANSWER","answer","to answer"
"Marrison-1967-917-13",13,"ant (generic)",587,"ANT","ant (generic)","ant (generic)"
"Marrison-1967-917-14",14,"ant (black)",,,"ant (black)","ant (black)"
"Marrison-1967-917-15",15,"ant (red)",,,"ant (red)","ant (red)"
"Marrison-1967-917-16",16,"ant (white), termite",883,"TERMITE","ant (white), termite","ant (white-termite)"
"Marrison-1967-917-17",17,"arm",1673,"ARM","arm","arm"
"Marrison-1967-917-18",18,"armlet",,,"armlet","armlet"
"Marrison-1967-917-19",19,"arrive",1387,"ARRIVE","arrive","to arrive"
"Marrison-1967-917-20",20,"arrow",977,"ARROW","arrow","arrow"
"Marrison-1967-917-21",21,"ascend",705,"GO UP (ASCEND)","ascend","to ascend"
"Marrison-1967-917-22",22,"ashes",646,"ASH","ashes","ashes"
"Marrison-1967-917-23",23,"ask (a question)",1309,"ASK (INQUIRE)","ask (a question)","to ask (a question)"
"Marrison-1967-917-24",24,"ask for",1828,"ASK (REQUEST)","ask for","to ask for"
"Marrison-1967-917-25",25,"at",1461,"AT","at","at"
"Marrison-1967-917-26",26,"aunt",1272,"AUNT","aunt","aunt"
"Marrison-1967-917-27",27,"awake / awaken",825,"AWAKE","awake / awaken","to awake;  to awaken"
"Marrison-1967-917-28",28,"axe",677,"AXE","axe","axe"
"Marrison-1967-917-29",29,"baby",1289,"BABY","baby","baby"
"Marrison-1967-917-30",30,"back (body)",1291,"BACK","back (body)","back (of the body)"
"Marrison-1967-917-31",31,"bad",1292,"BAD","bad","bad"
"Marrison-1967-917-32",32,"bag",2468,"BAG","bag","bag"
"Marrison-1967-917-33",33,"bamboo",1927,"BAMBOO","bamboo","bamboo"
"Marrison-1967-917-34",34,"banana",868,"BANANA","banana","banana"
"Marrison-1967-917-35",35,"bank (edge)",113,"SHORE","bank (edge)","bank (edge)"
"Marrison-1967-917-36",36,"bark (of tree)",1204,"BARK","bark (of tree)","bark (of tree)"
"Marrison-1967-917-37",37,"basket (generic)",1539,"BASKET","basket (generic)","basket (generic)"
"Marrison-1967-917-38",38,"basket (back, man's)",,,"basket (back, man's)","basket (back, man's)"
"Marrison-1967-917-39",39,"basket (back, woman's)",,,"basket (back, woman's)","basket (back, woman's)"
"Marrison-1967-917-40",40,"basket (large, storage)",,,"basket (large, storage)","basket (large, storage)"
"Marrison-1967-917-41",41,"bat (animal)",1793,"BAT","bat (animal)","bat (animal)"
"Marrison-1967-917-42",42,"be",1579,"BE","be","to be"
"Marrison-1967-917-43",43,"bead",1860,"BEAD","bead","bead"
"Marrison-1967-917-44",44,"beam",1132,"BEAM","beam","beam"
"Marrison-1967-917-45",45,"bean",832,"BEAN","bean","bean"
"Marrison-1967-917-46",46,"bear (animal)",1820,"BEAR","bear (animal)","a bear"
"Marrison-1967-917-47",47,"to bear (a child)",1123,"PREGNANT",,"to bear (a child)"
"Marrison-1967-917-48",48,"bear (fruit)",3054,"BEAR FRUIT","bear (fruit)","to bear (fruit)"
"Marrison-1967-917-49",49,"beard",678,"BEARD","beard","beard"
"Marrison-1967-917-50",50,"beat",1665,"BEAT","beat","to beat"
"Marrison-1967-917-51",51,"beautiful",1427,"BEAUTIFUL","beautiful","beautiful"
"Marrison-1967-917-52",52,"because",1157,"BECAUSE","because","because"
"Marrison-1967-917-53",53,"become",1990,"BECOME","become","to become"
"Marrison-1967-917-54",54,"bed",1663,"BED","bed","bed"
"Marrison-1967-917-55",55,"bee",665,"BEE","bee","bee"
"Marrison-1967-917-56",56,"beetle",2242,"BEETLE","beetle","beetle"
"Marrison-1967-917-57",57,"before",1882,"BEFORE","before","before"
"Marrison-1967-917-58",58,"before; at; to",,,"before; at; to",
"Marrison-1967-917-59",59,"begin",1806,"BEGIN","begin","to begin"
"Marrison-1967-917-60",60,"believe",1890,"BELIEVE","believe","to believe"
"Marrison-1967-917-61",61,"bellows",,,"bellows","bellows"
"Marrison-1967-917-62",62,"belly",1251,"BELLY","belly","belly"
"Marrison-1967-917-63",63,"belows",,,"belows",
"Marrison-1967-917-64",64,"belt (girdle)",772,"BELT","belt (girdle)","belt (girdle)"
"Marrison-1967-917-65",65,"belt (for weaving)",,,"belt (for weaving)","belt (for weaving)"
"Marrison-1967-917-66",66,"betel (leaf)",,,"betel (leaf)","betel (leaf)"
"Marrison-1967-917-67",67,"betel (nut)",,,"betel (nut)","betel (nut)"
"Marrison-1967-917-68",68,"between",689,"BETWEEN","between","between"
"Marrison-1967-917-69",69,"big",1202,"BIG","big","big"
"Marrison-1967-917-70",70,"bind",1917,"TIE","bind","to bind"
"Marrison-1967-917-71",71,"bird",937,"BIRD","bird","bird"
"Marrison-1967-917-72",72,"birth, give",,,"birth, give",
"Marrison-1967-917-73",73,"bite",1403,"BITE","bite","to bite"
"Marrison-1967-917-74",74,"bitter",887,"BITTER","bitter","bitter"
"Marrison-1967-917-75",75,"black",163,"BLACK","black","black"
"Marrison-1967-917-76",76,"bladder",1746,"BLADDER","bladder","bladder"
"Marrison-1967-917-77",77,"bless",391,"BLESS","bless","to bless"
"Marrison-1967-917-78",78,"blind",1653,"BLIND","blind","blind"
"Marrison-1967-917-79",79,"blood",946,"BLOOD","blood","blood"
"Marrison-1967-917-80",80,"blow",176,"BLOW (WITH MOUTH)","blow","to blow"
"Marrison-1967-917-81",81,"blunt",379,"BLUNT","blunt","blunt"
"Marrison-1967-917-82",82,"boat",1844,"BOAT","boat","boat"
"Marrison-1967-917-83",83,"body",1480,"BODY","body","body"
"Marrison-1967-917-84",84,"boil",2493,"BOIL","boil","to boil"
"Marrison-1967-917-85",85,"bone",1394,"BONE","bone","bone"
"Marrison-1967-917-86",86,"book",963,"BOOK","book","book"
"Marrison-1967-917-87",87,"bow (for shooting)",994,"BOW","bow (for shooting)","bow (for shooting)"
"Marrison-1967-917-88",88,"box",1465,"BOX","box","box"
"Marrison-1967-917-89",89,"box / chest",,,"box / chest",
"Marrison-1967-917-90",90,"boy",1366,"BOY","boy","boy"
"Marrison-1967-917-91",91,"bracelet",1754,"BRACELET","bracelet","bracelet"
"Marrison-1967-917-92",92,"brain",1583,"BRAIN","brain","brain"
"Marrison-1967-917-93",93,"branch",1531,"BRANCH","branch","branch"
"Marrison-1967-917-94",94,"brass",,,"brass","brass"
"Marrison-1967-917-95",95,"brave",3,"BRAVE","brave","brave"
"Marrison-1967-917-96",96,"bread",1368,"BREAD","bread","bread"
"Marrison-1967-917-97",97,"break",680,"BREAK (DESTROY OR GET DESTROYED)","break","to break"
"Marrison-1967-917-98",98,"breast",1402,"BREAST","breast","breast"
"Marrison-1967-917-99",99,"breathe",1407,"BREATHE","breathe","to breathe"
"Marrison-1967-917-100",100,"bride",1266,"BRIDE","bride","bride"
"Marrison-1967-917-101",101,"bridge",1011,"BRIDGE","bridge","bridge"
"Marrison-1967-917-102",102,"bring",692,"BRING","bring","to bring"
"Marrison-1967-917-103",103,"brinjal (bengan, eggplant)",1146,"AUBERGINE","brinjal (bengan, eggplant)","brinjal (bengan  egg plant)"
"Marrison-1967-917-104",104,"broad",2531,"BROAD","broad","broad"
"Marrison-1967-917-105",105,"broom",245,"BROOM","broom","broom"
"Marrison-1967-917-106",106,"brother (elder)",1759,"OLDER BROTHER","brother (elder)","brother (elder)"
"Marrison-1967-917-107",107,"brother (younger)",1760,"YOUNGER BROTHER","brother (younger)","brother (younger)"
"Marrison-1967-917-108",108,"bud",1684,"BUD","bud","bud"
"Marrison-1967-917-109",109,"buffalo",934,"BUFFALO","buffalo","buffalo"
"Marrison-1967-917-110",110,"bug",1027,"BUG","bug","bug"
"Marrison-1967-917-111",111,"build",1840,"BUILD","build","to build"
"Marrison-1967-917-112",112,"bull",1008,"BULL","bull","bull"
"Marrison-1967-917-113",113,"bullet",1114,"BULLET","bullet","bullet"
"Marrison-1967-917-114",114,"burn",2102,"BURN","burn","to burn"
"Marrison-1967-917-115",115,"bury",1719,"BURY","bury","to bury"
"Marrison-1967-917-116",116,"bush",1683,"BUSH","bush","bush"
"Marrison-1967-917-117",117,"but",1869,"BUY","but","but"
"Marrison-1967-917-118",118,"butterfly",1791,"BUTTERFLY","butterfly","butterfly"
"Marrison-1967-917-119",119,"buy",1869,"BUY","buy","to buy"
"Marrison-1967-917-120",120,"by means of",,,"by means of","by means of"
"Marrison-1967-917-121",121,"calf (of cow)",1989,"CALF","calf (of cow)","calf (of cow)"
"Marrison-1967-917-122",122,"calf (of leg)",498,"CALF OF LEG","calf (of leg)","calf (of leg)"
"Marrison-1967-917-123",123,"to call",1084,"CALL",,"to call"
"Marrison-1967-917-124",124,"can, able",972,"BE ABLE",,"can, able"
"Marrison-1967-917-125",125,"cane",146,"SUGAR CANE","cane","cane"
"Marrison-1967-917-126",126,"to carry (generic)",700,"CARRY","to carry (generic)","to carry (generic)"
"Marrison-1967-917-127",127,"to carry (in hand)",412,"CARRY IN HAND","to carry (in hand)","to carry (in hand)"
"Marrison-1967-917-128",128,"to carry (on back)",465,"CARRY ON BACK","to carry (on back)","to carry (on back)"
"Marrison-1967-917-129",129,"cat",1208,"CAT","cat","cat"
"Marrison-1967-917-130",130,"catch",702,"CATCH","catch","to catch"
"Marrison-1967-917-131",131,"caterpillar",2247,"CATERPILLAR","caterpillar","caterpillar"
"Marrison-1967-917-132",132,"cattle",1153,"CATTLE","cattle","cattle"
"Marrison-1967-917-133",133,"cave",1155,"CAVE","cave","cave"
"Marrison-1967-917-134",134,"centipede",1974,"CENTIPEDE","centipede","centipede"
"Marrison-1967-917-135",135,"chaff",2363,"CHAFF (HUSK)","chaff","chaff"
"Marrison-1967-917-136",136,"chair",1476,"CHAIR","chair","chair"
"Marrison-1967-917-137",137,"charcoal",1188,"CHARCOAL","charcoal","charcoal"
"Marrison-1967-917-138",138,"cheap",1887,"CHEAP","cheap","cheap"
"Marrison-1967-917-139",139,"cheek",1730,"CHEEK","cheek","cheek"
"Marrison-1967-917-140",140,"chest",1592,"CHEST","chest","chest (of body)"
"Marrison-1967-917-141",141,"chicken",1318,"CHICKEN","chicken","chicken"
"Marrison-1967-917-142",142,"chief",301,"CHIEFTAIN","chief","a chief"
"Marrison-1967-917-143",143,"child",2099,"CHILD","child","child"
"Marrison-1967-917-144",144,"chillie",919,"CHILI PEPPER","chillie","chillie"
"Marrison-1967-917-145",145,"chin",1510,"CHIN","chin","the chin"
"Marrison-1967-917-146",146,"choose",1750,"CHOOSE","choose","to choose"
"Marrison-1967-917-147",147,"claw",72,"CLAW","claw","claw"
"Marrison-1967-917-148",148,"clay",1399,"CLAY","clay","clay"
"Marrison-1967-917-149",149,"clean",704,"CLEAN","clean","clean"
"Marrison-1967-917-150",150,"climb",1102,"CLIMB","climb","to climb"
"Marrison-1967-917-151",151,"clock",1323,"CLOCK","clock","clock"
"Marrison-1967-917-152",152,"cloth",1616,"CLOTH","cloth","cloth"
"Marrison-1967-917-153",153,"clothes",1895,"CLOTHES","clothes","clothes"
"Marrison-1967-917-154",154,"cloud",1489,"CLOUD","cloud","cloud"
"Marrison-1967-917-155",155,"coat",603,"COAT","coat","coat"
"Marrison-1967-917-156",156,"cock",1511,"ROOSTER","cock","cock"
"Marrison-1967-917-157",157,"cold",1287,"COLD","cold","cold"
"Marrison-1967-917-158",158,"comb",1475,"COMB","comb","comb"
"Marrison-1967-917-159",159,"come",1446,"COME","come","to come"
"Marrison-1967-917-160",160,"cook",1100,"COOK (SOMETHING)","cook","to cook"
"Marrison-1967-917-161",161,"cook3",,,"cook3",
"Marrison-1967-917-162",162,"copper",1825,"COPPER","copper","copper"
"Marrison-1967-917-163",163,"cotton",1850,"COTTON","cotton","cotton"
"Marrison-1967-917-164",164,"cough",879,"COUGH","cough","to cough"
"Marrison-1967-917-165",165,"count",1420,"COUNT","count","to count"
"Marrison-1967-917-166",166,"country",1300,"COUNTRY","country","country"
"Marrison-1967-917-167",167,"cover",761,"COVER","cover","to cover"
"Marrison-1967-917-168",168,"cow",1007,"COW","cow","cow"
"Marrison-1967-917-169",169,"cowrie",,,"cowrie","cowrie"
"Marrison-1967-917-170",170,"crab",2348,"CRAB","crab","crab"
"Marrison-1967-917-171",171,"creeper",,,"creeper","creeper"
"Marrison-1967-917-172",172,"crooked",297,"CROOKED","crooked","crooked"
"Marrison-1967-917-173",173,"crow (bird)",913,"CROW","crow (bird)","a crow"
"Marrison-1967-917-174",174,"cruel",500,"CRUEL","cruel","cruel"
"Marrison-1967-917-175",175,"cry (weep)",1839,"CRY","cry (weep)","to cry (to weep)"
"Marrison-1967-917-176",176,"cucumber",496,"CUCUMBER","cucumber","cucumber"
"Marrison-1967-917-177",177,"cup",476,"CUP","cup","cup"
"Marrison-1967-917-178",178,"curry",,,"curry","curry"
"Marrison-1967-917-179",179,"curse",8,"CURSE","curse","to curse"
