LEXEME,REPLACEMENT,COMMENT
mVr?ri,mor?ri,"follow book."
rüzə,rüza,"follow book."
ldaN◦ba,ldaŋ,"export."
thswa,tshwa,"export."
khVVpui,khawpui,"follow book"
raiCi,rai?i,"follow book"
ch˯a˯hei,cha̱hei,"follow book"
khyinkhwaN,khyinkhwaṅ,"follow book"
khwaisoNwe,khwaisoṅwe,"follow book"
myoN,myoṅ,"follow book"
-peCung, -pe?ung, "follow book"
khaCar,kha?car,"follow book"
mthoN,mthoṅ,"follow book"
saC,san,
keng◦sarti (apok),keng◦sarti
