Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	lang, lam	tangkhul, jingpho, dimasa, manipuri, liangmai, chang, burmesewritten, lushai, mikir, lotha, aomongsen, zeme, konyak, aochungli, nruanghmei, tibetanwritten, khoirao, maring, wancho, puiron, mzieme, phom, maram, sangtam, ntenyi, nocte, yachamtengsa, mao, sema, tangsamoshang, yimchungru, tangsayogli, rengma, angamikhonoma, angamikohima, chokri, meluri, kezhama, tengsa, yacham	13098	U+0061
n	n	lang, tang	mikir, aochungli, aomongsen, tangkhul, lotha, sangtam, konyak, manipuri, chang, lushai, nruanghmei, dimasa, phom, jingpho, zeme, liangmai, rengma, mzieme, ntenyi, yimchungru, puiron, khoirao, wancho, maring, maram, nocte, yachamtengsa, sema, angamikohima, mao, tangsamoshang, tangsayogli, tibetanwritten, angamikhonoma, chokri, meluri, burmesewritten, kezhama, yacham, tengsa	7960	U+006e
e	e	tei, lei	zeme, angamikohima, aochungli, angamikhonoma, mikir, rengma, mzieme, aomongsen, konyak, nruanghmei, lotha, ntenyi, chang, phom, sema, lushai, tibetanwritten, manipuri, tangkhul, mao, dimasa, liangmai, meluri, maram, sangtam, puiron, yimchungru, chokri, yachamtengsa, khoirao, nocte, jingpho, kezhama, maring, burmesewritten, tangsayogli, tangsamoshang, wancho, yacham, tengsa	6254	U+0065
i	i	ching, hing	zeme, angamikohima, liangmai, nruanghmei, sema, tangkhul, mikir, lushai, konyak, dimasa, manipuri, sangtam, mzieme, chang, aochungli, yimchungru, jingpho, angamikhonoma, aomongsen, lotha, phom, tibetanwritten, puiron, mao, maring, burmesewritten, rengma, khoirao, wancho, ntenyi, maram, nocte, tangsamoshang, chokri, meluri, tangsayogli, yachamtengsa, kezhama, yacham	6191	U+0069
◦	+	a◦li, a◦sa	aochungli, lotha, aomongsen, sangtam, tangkhul, sema, mikir, yimchungru, ntenyi, zeme, tibetanwritten, angamikohima, jingpho, manipuri, dimasa, burmesewritten, lushai, liangmai, chang, konyak, mao, angamikhonoma, meluri, mzieme, nruanghmei, yachamtengsa, chokri, phom, maram, rengma, wancho, khoirao, maring, puiron, tangsamoshang, nocte, tangsayogli, kezhama, yacham, tengsa	5754	U+25e6
u	u	hui, lui	zeme, nruanghmei, lushai, burmesewritten, dimasa, tibetanwritten, sema, liangmai, manipuri, aomongsen, tangkhul, jingpho, chang, mikir, angamikohima, aochungli, maring, yimchungru, mzieme, lotha, sangtam, rengma, konyak, wancho, ntenyi, maram, khoirao, puiron, angamikhonoma, nocte, meluri, tangsayogli, tangsamoshang, yachamtengsa, phom, mao, chokri, kezhama, tengsa, yacham	4769	U+0075
i$	i	mi, pi	nruanghmei, sema, mikir, tangkhul, zeme, dimasa, mao, jingpho, konyak, manipuri, lushai, mzieme, sangtam, angamikhonoma, chang, ntenyi, aomongsen, aochungli, liangmai, lotha, phom, khoirao, angamikohima, rengma, maram, maring, chokri, burmesewritten, wancho, puiron, meluri, yimchungru, tangsamoshang, yachamtengsa, tibetanwritten, tangsayogli, kezhama, nocte, tengsa	4756	U+0069 U+0024
a$	a	sa, cha	tibetanwritten, manipuri, tangkhul, dimasa, jingpho, aomongsen, angamikhonoma, lotha, sangtam, ntenyi, angamikohima, sema, aochungli, konyak, khoirao, zeme, lushai, rengma, chokri, nocte, wancho, liangmai, mzieme, phom, meluri, maring, mao, nruanghmei, tangsamoshang, puiron, burmesewritten, yachamtengsa, maram, chang, tangsayogli, mikir, yimchungru, kezhama, tengsa, yacham	4191	U+0061 U+0024
