Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
o	o	long, yong	mikir, lotha, tibetanwritten, konyak, dimasa, manipuri, mao, sema, aochungli, chang, phom, tangkhul, nruanghmei, angamikohima, sangtam, burmesewritten, rengma, aomongsen, wancho, puiron, angamikhonoma, yimchungru, liangmai, nocte, khoirao, tangsamoshang, chokri, maram, ntenyi, maring, jingpho, yachamtengsa, meluri, zeme, lushai, kezhama, tangsayogli, mzieme, yacham	4178	U+006f
g	g	nga, ngu	mikir, tangkhul, zeme, tibetanwritten, aochungli, manipuri, aomongsen, konyak, sangtam, chang, lotha, jingpho, dimasa, nruanghmei, liangmai, phom, mzieme, lushai, rengma, khoirao, maram, yachamtengsa, yimchungru, puiron, nocte, wancho, maring, ntenyi, sema, angamikhonoma, angamikohima, tangsayogli, chokri, tangsamoshang, mao, meluri, kezhama	3070	U+0067
r	r	khrü, kra	tibetanwritten, mikir, burmesewritten, dimasa, angamikohima, tangkhul, mao, sangtam, angamikhonoma, lotha, jingpho, aochungli, manipuri, zeme, chokri, aomongsen, lushai, yimchungru, liangmai, nruanghmei, rengma, maring, meluri, mzieme, khoirao, puiron, tangsamoshang, maram, nocte, tangsayogli, kezhama, wancho, sema, yachamtengsa, ntenyi, chang, konyak, phom	2925	U+0072
u$	u	lu, su	liangmai, sema, konyak, angamikohima, chang, jingpho, angamikhonoma, rengma, nruanghmei, zeme, dimasa, puiron, mzieme, mikir, mao, lushai, tibetanwritten, manipuri, aochungli, meluri, lotha, sangtam, yimchungru, khoirao, aomongsen, ntenyi, wancho, maram, chokri, maring, tangsamoshang, phom, nocte, yachamtengsa, tangsayogli, kezhama, burmesewritten, tangkhul, tengsa, yacham	2891	U+0075 U+0024
g$	g	lang, tang	mikir, dimasa, sangtam, aomongsen, aochungli, tangkhul, konyak, lushai, chang, phom, manipuri, jingpho, nruanghmei, lotha, tibetanwritten, liangmai, rengma, yimchungru, mzieme, maring, zeme, ntenyi, wancho, khoirao, nocte, maram, puiron, yachamtengsa, tangsayogli, tangsamoshang, meluri, yacham, sema, angamikhonoma, tengsa, chokri, mao	2887	U+0067 U+0024
^a	a	an, a◦li	sema, ntenyi, aochungli, meluri, sangtam, aomongsen, mikir, yimchungru, tangkhul, burmesewritten, maram, manipuri, nocte, konyak, khoirao, tangsayogli, chang, tangsamoshang, yachamtengsa, wancho, rengma, mao, maring, phom, lushai, nruanghmei, liangmai, jingpho, puiron, dimasa, angamikohima, kezhama, zeme, mzieme, angamikhonoma, chokri, lotha, tibetanwritten	2785	U+005e U+0061
^k	k	ka, ku	angamikohima, angamikhonoma, zeme, tangkhul, mikir, jingpho, rengma, nruanghmei, mao, liangmai, burmesewritten, chang, sema, chokri, ntenyi, mzieme, puiron, khoirao, lushai, manipuri, aochungli, konyak, sangtam, maring, maram, yimchungru, tibetanwritten, lotha, wancho, phom, aomongsen, kezhama, nocte, tangsamoshang, meluri, yachamtengsa, tangsayogli, dimasa	2719	U+005e U+006b
m	m	a◦mi, ami	nruanghmei, sema, tibetanwritten, aochungli, tangkhul, manipuri, aomongsen, zeme, chang, lotha, dimasa, angamikohima, liangmai, lushai, angamikhonoma, konyak, ntenyi, sangtam, jingpho, mao, mikir, yimchungru, phom, puiron, chokri, maram, mzieme, burmesewritten, khoirao, rengma, maring, meluri, tangsamoshang, yachamtengsa, kezhama, wancho, nocte, tangsayogli	2589	U+006d
k	k	raka, skad	sema, mikir, zeme, lotha, aochungli, chang, burmesewritten, tangkhul, nruanghmei, aomongsen, rengma, tibetanwritten, angamikhonoma, angamikohima, konyak, manipuri, liangmai, sangtam, mao, jingpho, ntenyi, mzieme, maram, chokri, wancho, phom, yimchungru, khoirao, lushai, puiron, nocte, tangsamoshang, yachamtengsa, kezhama, maring, tangsayogli, meluri, dimasa, tengsa, yacham	2500	U+006b
^m	m	ma, mi	manipuri, jingpho, zeme, aochungli, liangmai, aomongsen, konyak, sangtam, tangkhul, dimasa, angamikhonoma, mzieme, chang, tibetanwritten, burmesewritten, angamikohima, lotha, phom, mao, yimchungru, mikir, nruanghmei, lushai, ntenyi, sema, puiron, wancho, chokri, maring, rengma, yachamtengsa, maram, khoirao, nocte, tangsamoshang, meluri, tangsayogli, kezhama, yacham	2277	U+005e U+006d
ü	ə	lüm, rüna	chokri, sangtam, nruanghmei, yimchungru, aomongsen, aochungli, sema, ntenyi, rengma, phom, angamikohima, mao, lotha, chang, konyak, mzieme, meluri, angamikhonoma, yachamtengsa, kezhama, tangsayogli, tangsamoshang, zeme, lushai, liangmai	2158	U+00fc
l	l	a◦li, a◦lo	mikir, sema, lushai, aochungli, aomongsen, dimasa, tibetanwritten, sangtam, chang, yachamtengsa, mao, tangkhul, jingpho, konyak, lotha, angamikohima, angamikhonoma, nruanghmei, liangmai, yimchungru, zeme, mzieme, ntenyi, maring, phom, meluri, rengma, puiron, burmesewritten, khoirao, chokri, manipuri, maram, tangsamoshang, nocte, tangsayogli, wancho, kezhama, tengsa, yacham	2126	U+006c
p	p	apa, api	tibetanwritten, konyak, phom, zeme, sema, lotha, jingpho, mikir, manipuri, angamikohima, nruanghmei, mao, aochungli, sangtam, liangmai, angamikhonoma, chang, aomongsen, yimchungru, tangkhul, ntenyi, lushai, burmesewritten, mzieme, maram, khoirao, rengma, chokri, meluri, wancho, maring, nocte, puiron, yachamtengsa, kezhama, dimasa, tangsamoshang, tangsayogli	2082	U+0070
o$	o	lo, so	lotha, mao, angamikohima, angamikhonoma, mikir, sema, tibetanwritten, chokri, rengma, konyak, dimasa, tangkhul, sangtam, chang, yimchungru, aochungli, aomongsen, nocte, maram, lushai, kezhama, meluri, ntenyi, wancho, manipuri, yachamtengsa, burmesewritten, phom, maring, khoirao, nruanghmei, puiron, mzieme, liangmai, tangsamoshang, tangsayogli, zeme, tengsa	2015	U+006f U+0024
^n	n	ni, na	jingpho, nruanghmei, konyak, tangkhul, rengma, zeme, chang, lotha, manipuri, sangtam, phom, liangmai, mikir, angamikohima, lushai, mzieme, khoirao, angamikhonoma, aomongsen, aochungli, burmesewritten, dimasa, maring, wancho, mao, tibetanwritten, nocte, ntenyi, chokri, puiron, yachamtengsa, meluri, tangsamoshang, yimchungru, tangsayogli, sema, maram, kezhama, tengsa	1890	U+005e U+006e
^t	t	ta, tam	aochungli, aomongsen, liangmai, konyak, lushai, zeme, rengma, yachamtengsa, angamikhonoma, nruanghmei, manipuri, burmesewritten, mikir, chang, angamikohima, mzieme, maram, lotha, wancho, sangtam, puiron, maring, jingpho, khoirao, chokri, ntenyi, sema, tangkhul, yimchungru, mao, phom, nocte, tangsamoshang, meluri, kezhama, tangsayogli, tengsa, tibetanwritten, yacham, dimasa	1832	U+005e U+0074
t	t	ato, kati	aochungli, aomongsen, jingpho, lotha, chang, zeme, sema, nruanghmei, manipuri, sangtam, konyak, tangkhul, mikir, liangmai, burmesewritten, lushai, mao, khoirao, mzieme, tibetanwritten, maram, wancho, puiron, ntenyi, meluri, yimchungru, phom, yachamtengsa, rengma, maring, angamikohima, nocte, angamikhonoma, dimasa, chokri, tangsamoshang, tangsayogli, kezhama, yacham	1778	U+0074
ü$	ə	chü, sü	angamikohima, rengma, sangtam, chokri, phom, mao, chang, aochungli, ntenyi, angamikhonoma, yimchungru, sema, lotha, aomongsen, meluri, kezhama, yachamtengsa, tangsamoshang, tangsayogli, wancho, mzieme, nruanghmei, maram, liangmai, puiron	1776	U+00fc U+0024
e$	e	pe, me	angamikohima, zeme, angamikhonoma, sema, mikir, mao, rengma, mzieme, sangtam, chokri, jingpho, konyak, burmesewritten, lotha, meluri, maram, yimchungru, ntenyi, tibetanwritten, chang, kezhama, nocte, wancho, dimasa, phom, lushai, liangmai, yachamtengsa, maring, aochungli, nruanghmei, tangkhul, khoirao, manipuri, aomongsen, puiron, tangsamoshang	1695	U+0065 U+0024
y	j	nyi, nyü	tibetanwritten, burmesewritten, lotha, sangtam, rengma, konyak, chang, aomongsen, phom, ntenyi, jingpho, sema, aochungli, chokri, angamikohima, dimasa, yimchungru, tangkhul, maring, nocte, manipuri, puiron, yachamtengsa, meluri, wancho, maram, tangsamoshang, tangsayogli, kezhama, liangmai, mzieme, khoirao, angamikhonoma, mikir, nruanghmei, tengsa	1594	U+0079
n$	n	an, man	jingpho, lotha, mikir, lushai, rengma, chang, manipuri, konyak, aochungli, nruanghmei, liangmai, aomongsen, tibetanwritten, ntenyi, nocte, tangkhul, wancho, puiron, burmesewritten, tangsamoshang, phom, yimchungru, maring, yachamtengsa, khoirao, dimasa, tangsayogli, zeme, chokri, sangtam, sema, mzieme, maram, meluri, mao	1525	U+006e U+0024
b	b	chabi, kibuba	manipuri, liangmai, zeme, tibetanwritten, chang, dimasa, aochungli, khoirao, aomongsen, mikir, nruanghmei, mzieme, angamikohima, lushai, mao, sema, rengma, jingpho, puiron, yachamtengsa, angamikhonoma, chokri, sangtam, wancho, yimchungru, tangsamoshang, maring, maram, konyak, nocte, ntenyi, phom, tangsayogli, kezhama, tangkhul, meluri, lotha	1509	U+0062
^s	s	sa, si	tibetanwritten, dimasa, chang, lushai, mikir, burmesewritten, aomongsen, aochungli, tangkhul, manipuri, rengma, angamikohima, jingpho, nruanghmei, maram, angamikhonoma, lotha, chokri, puiron, maring, sangtam, mao, zeme, khoirao, ntenyi, nocte, mzieme, sema, wancho, liangmai, yachamtengsa, tangsamoshang, kezhama, meluri, yimchungru, tangsayogli, konyak, phom, tengsa	1412	U+005e U+0073
k$	k	tak, chak	mikir, aochungli, chang, burmesewritten, manipuri, lushai, aomongsen, konyak, lotha, wancho, phom, tangkhul, nruanghmei, nocte, zeme, yimchungru, mzieme, liangmai, maring, tangsamoshang, puiron, maram, tangsayogli, yachamtengsa, khoirao, jingpho, dimasa, chokri, sangtam, sema	1266	U+006b U+0024
^l	l	lu, li	chang, manipuri, jingpho, lushai, phom, mikir, burmesewritten, nruanghmei, konyak, tibetanwritten, lotha, sangtam, aochungli, aomongsen, tangkhul, mzieme, angamikhonoma, wancho, dimasa, zeme, yimchungru, liangmai, angamikohima, mao, rengma, sema, chokri, tangsamoshang, puiron, nocte, yachamtengsa, maring, khoirao, maram, tangsayogli, kezhama, ntenyi, meluri	1246	U+005e U+006c
^p	p	pi, pa	mikir, liangmai, angamikohima, burmesewritten, angamikhonoma, zeme, konyak, chang, manipuri, nruanghmei, lushai, sema, mzieme, lotha, aochungli, wancho, mao, jingpho, phom, rengma, sangtam, chokri, tangkhul, aomongsen, khoirao, ntenyi, yimchungru, kezhama, nocte, maram, maring, puiron, tangsayogli, dimasa, tibetanwritten, tangsamoshang, yachamtengsa, meluri, tengsa	1208	U+005e U+0070
s	s	a◦sa, aso	dimasa, aochungli, mikir, angamikohima, ntenyi, aomongsen, zeme, sema, manipuri, mao, tangkhul, lotha, angamikhonoma, tibetanwritten, chang, jingpho, rengma, meluri, yachamtengsa, sangtam, liangmai, puiron, lushai, khoirao, burmesewritten, nocte, nruanghmei, maram, chokri, mzieme, yimchungru, wancho, maring, tangsamoshang, kezhama, tangsayogli, phom	1183	U+0073
^h	h	ha, hi	lushai, zeme, mikir, mzieme, konyak, dimasa, chang, jingpho, phom, wancho, manipuri, tangkhul, maring, lotha, rengma, sangtam, nocte, nruanghmei, khoirao, mao, angamikohima, tangsayogli, yimchungru, ntenyi, sema, angamikhonoma, maram, burmesewritten, liangmai, chokri, aomongsen, meluri, puiron, kezhama, tangsamoshang, yachamtengsa, aochungli	1180	U+005e U+0068
m$	m	lam, tam	lushai, mikir, aochungli, jingpho, aomongsen, konyak, manipuri, zeme, tangkhul, yimchungru, chang, lotha, phom, liangmai, nruanghmei, mzieme, dimasa, wancho, maram, sangtam, tibetanwritten, maring, khoirao, puiron, nocte, tangsayogli, tangsamoshang, yachamtengsa, burmesewritten, chokri, ntenyi, meluri, mao, sema	1159	U+006d U+0024
^ch	cçʰ	cha, chi	liangmai, mikir, lushai, manipuri, chang, aomongsen, jingpho, angamikhonoma, mao, angamikohima, lotha, wancho, burmesewritten, tangkhul, zeme, tibetanwritten, maring, sangtam, ntenyi, nocte, khoirao, chokri, yachamtengsa, sema, yimchungru, rengma, tangsamoshang, puiron, phom, maram, aochungli, konyak, dimasa, tangsayogli, kezhama, meluri	1099	U+005e U+0063 U+0068
ch	cçʰ	achi, machi	aomongsen, lotha, zeme, tangkhul, sema, sangtam, mao, angamikohima, angamikhonoma, chang, ntenyi, nocte, mikir, burmesewritten, yachamtengsa, manipuri, meluri, liangmai, rengma, chokri, aochungli, maring, kezhama, puiron, wancho, jingpho, tibetanwritten, lushai, khoirao, maram, yimchungru, tangsamoshang, tangsayogli, phom, konyak, dimasa, nruanghmei	1074	U+0063 U+0068
-	NULL	-ra, -na	lotha, mao, tibetanwritten, aochungli, mikir, sema, chang, aomongsen, konyak, yimchungru, ntenyi, tangkhul, zeme, nruanghmei, rengma, liangmai, sangtam, jingpho, mzieme, manipuri, meluri, burmesewritten, maram, phom, dimasa, khoirao, nocte, angamikohima, maring, lushai, chokri, tangsayogli, angamikhonoma, kezhama, tangsamoshang, wancho, yachamtengsa, puiron	999	U+002d
kh	kʰ	akhu, sakhi	sema, tangkhul, dimasa, yimchungru, ntenyi, lotha, burmesewritten, mao, aomongsen, liangmai, manipuri, jingpho, meluri, sangtam, rengma, angamikohima, nruanghmei, chokri, lushai, nocte, angamikhonoma, tibetanwritten, tangsayogli, chang, maring, mikir, phom, tangsamoshang, konyak, khoirao, puiron, yachamtengsa, maram, kezhama	973	U+006b U+0068
^kh	kʰ	khi, kha	tangkhul, manipuri, dimasa, burmesewritten, jingpho, tibetanwritten, lotha, rengma, sangtam, yimchungru, lushai, angamikohima, ntenyi, mao, chokri, nruanghmei, tangsayogli, sema, chang, aomongsen, maring, meluri, nocte, phom, tangsamoshang, liangmai, angamikhonoma, konyak, puiron, khoirao, wancho, yachamtengsa, maram, zeme, yacham	957	U+005e U+006b U+0068
d	d	kedi, kündih	tibetanwritten, dimasa, mikir, jingpho, zeme, nruanghmei, angamikohima, mzieme, manipuri, angamikhonoma, mao, aochungli, liangmai, lotha, chokri, rengma, maram, khoirao, tangkhul, yimchungru, ntenyi, nocte, sema, wancho, lushai, sangtam, maring, kezhama, phom, aomongsen, chang, tangsamoshang, puiron, tangsayogli, yachamtengsa, konyak	926	U+0064
^r	r	ri, ra	tibetanwritten, mikir, angamikhonoma, angamikohima, lushai, nruanghmei, dimasa, mzieme, zeme, tangkhul, nocte, wancho, jingpho, burmesewritten, sangtam, tangsamoshang, chokri, rengma, lotha, puiron, maram, yimchungru, aomongsen, aochungli, liangmai, khoirao, maring, mao, tangsayogli, meluri, kezhama, ntenyi, manipuri, konyak, chang, sema	867	U+005e U+0072
^th	tʰ	thi, thu	lushai, angamikohima, mikir, angamikhonoma, manipuri, yimchungru, chokri, dimasa, tibetanwritten, sangtam, burmesewritten, nruanghmei, tangkhul, chang, rengma, phom, lotha, maring, puiron, sema, khoirao, mao, nocte, ntenyi, aomongsen, liangmai, tangsamoshang, konyak, tangsayogli, yachamtengsa, meluri, maram, wancho, kezhama	766	U+005e U+0074 U+0068
th	tʰ	atha, athi	mikir, tangkhul, dimasa, lotha, manipuri, chokri, sema, angamikohima, sangtam, rengma, nruanghmei, angamikhonoma, ntenyi, khoirao, mao, liangmai, lushai, burmesewritten, meluri, yimchungru, tibetanwritten, chang, phom, aomongsen, tangsamoshang, maring, yachamtengsa, puiron, nocte, tangsayogli, maram, kezhama, jingpho, konyak	745	U+0074 U+0068
z	z	azü, keza	angamikohima, aochungli, sangtam, angamikhonoma, rengma, ntenyi, sema, meluri, zeme, chokri, tangkhul, lotha, mao, tibetanwritten, aomongsen, mzieme, lushai, wancho, kezhama, yimchungru, mikir, dimasa, chang, nruanghmei, phom, liangmai, manipuri	731	U+007a
t$	t	hat, met	jingpho, mikir, lotha, chang, lushai, tangkhul, burmesewritten, manipuri, nruanghmei, mzieme, konyak, aochungli, aomongsen, wancho, zeme, nocte, phom, maring, yachamtengsa, tangsamoshang, puiron, maram, khoirao, yimchungru, tangsayogli, dimasa, sangtam, meluri, liangmai	721	U+0074 U+0024
h	h	aha, ahu	lushai, mikir, tangkhul, mao, sema, konyak, liangmai, phom, ntenyi, manipuri, lotha, nruanghmei, rengma, jingpho, zeme, dimasa, angamikhonoma, angamikohima, mzieme, wancho, maring, nocte, khoirao, sangtam, maram, yimchungru, chang, meluri, tangsayogli, aomongsen, burmesewritten, chokri, tangsamoshang, yachamtengsa, tibetanwritten, puiron	713	U+0068
^y	j	yu, ya	konyak, chang, phom, sangtam, lotha, aomongsen, dimasa, manipuri, tangsamoshang, yimchungru, tangkhul, jingpho, aochungli, tangsayogli, tibetanwritten, burmesewritten, maring, rengma, khoirao, puiron, yachamtengsa, maram, nruanghmei, chokri, mao, sema, wancho, liangmai, angamikohima, angamikhonoma, mzieme, kezhama, ntenyi	667	U+005e U+0079
^b	b	ba, bu	dimasa, tibetanwritten, lushai, mikir, nruanghmei, zeme, puiron, angamikhonoma, phom, mzieme, aochungli, rengma, wancho, chokri, liangmai, jingpho, angamikohima, mao, nocte, manipuri, tangsamoshang, sema, maram, sangtam, chang, tangsayogli, maring, ntenyi, kezhama, khoirao, yimchungru, aomongsen, lotha, konyak, burmesewritten	598	U+005e U+0062
^sh	ʃ	shi, shu	konyak, jingpho, phom, chang, tangkhul, aochungli, sangtam, rengma, yimchungru, lotha, sema, ntenyi, mao, manipuri, wancho, liangmai, meluri, angamikhonoma, chokri, aomongsen, angamikohima, tangsamoshang, dimasa, tangsayogli, yachamtengsa, nruanghmei, puiron, khoirao, yacham	592	U+005e U+0073 U+0068
^d	d	da, di	tibetanwritten, dimasa, mikir, lushai, angamikohima, jingpho, angamikhonoma, nruanghmei, rengma, mzieme, zeme, nocte, phom, liangmai, chokri, mao, maring, tangsamoshang, burmesewritten, wancho, maram, puiron, tangsayogli, aochungli, kezhama, manipuri, sangtam, chang, khoirao, aomongsen, sema, konyak, yimchungru	578	U+005e U+0064
ts	ts	atsa, atsü	lotha, sema, aomongsen, aochungli, rengma, ntenyi, mzieme, angamikohima, angamikhonoma, sangtam, tibetanwritten, yimchungru, meluri, jingpho, chokri, mao, lushai, wancho, kezhama, tangkhul, chang, mikir, burmesewritten, nruanghmei, khoirao, tangsayogli	553	U+0074 U+0073
sh	ʃ	ashi, asha	sema, tangkhul, aochungli, chang, konyak, ntenyi, phom, jingpho, rengma, tangsamoshang, angamikhonoma, angamikohima, mao, meluri, lotha, sangtam, yimchungru, liangmai, aomongsen, tangsayogli, dimasa, wancho, yachamtengsa, manipuri, nruanghmei, chokri, puiron, maring	534	U+0073 U+0068
j	ʝ	kijü, raja	aochungli, dimasa, mikir, sangtam, manipuri, konyak, jingpho, liangmai, angamikhonoma, nruanghmei, ntenyi, rengma, angamikohima, phom, mao, chang, nocte, wancho, puiron, khoirao, tangsamoshang, zeme, maram, tangkhul, yimchungru, tibetanwritten, tangsayogli, yachamtengsa, kezhama, maring, meluri, aomongsen	528	U+006a
p$	p	kap, chap	mikir, jingpho, dimasa, burmesewritten, aochungli, chang, konyak, tangkhul, aomongsen, lotha, manipuri, lushai, phom, yimchungru, nocte, nruanghmei, sangtam, tangsamoshang, zeme, yachamtengsa, wancho, mzieme, tangsayogli, maring, puiron, khoirao, liangmai, tibetanwritten	493	U+0070 U+0024
^ph	pʰ	pha, phu	mikir, tibetanwritten, konyak, tangkhul, manipuri, burmesewritten, lushai, chang, aomongsen, phom, nruanghmei, dimasa, lotha, mao, maring, angamikohima, angamikhonoma, chokri, yimchungru, liangmai, khoirao, yachamtengsa, ntenyi, nocte, puiron, sangtam, tangsamoshang, sema, rengma, kezhama, meluri, jingpho, maram, tangsayogli	475	U+005e U+0070 U+0068
w	w	awu, zawng	jingpho, lushai, ntenyi, meluri, aomongsen, lotha, maring, konyak, burmesewritten, mao, liangmai, chang, khoirao, manipuri, tangkhul, sema, tangsamoshang, angamikhonoma, maram, dimasa, zeme, aochungli, angamikohima, tangsayogli, yimchungru, rengma, sangtam, puiron, mzieme, nruanghmei, kezhama, tibetanwritten	470	U+0077
^o	o	ong, ok	lotha, mao, aochungli, mikir, phom, konyak, aomongsen, chang, manipuri, tangkhul, yachamtengsa, wancho, puiron, maring, burmesewritten, nruanghmei, maram, jingpho, kezhama, dimasa, chokri, sangtam, liangmai, rengma, tangsayogli, nocte, sema	447	U+005e U+006f
v	v	ava, kevü	sema, mao, mikir, angamikohima, tangkhul, rengma, lotha, lushai, chokri, angamikhonoma, sangtam, meluri, phom, ntenyi, nocte, wancho, maram, aomongsen, tangsamoshang, tangsayogli, kezhama, manipuri, zeme, dimasa, khoirao, puiron	419	U+0076
r$	r	tar, alar	mikir, aochungli, lushai, tibetanwritten, dimasa, tangkhul, aomongsen, tangsamoshang, maring, manipuri, angamikhonoma, ntenyi, lotha, yimchungru, chokri, sangtam, angamikohima, tangsayogli, nocte	399	U+0072 U+0024
ph	pʰ	aphu, samphang	lotha, dimasa, mikir, tangkhul, phom, manipuri, konyak, burmesewritten, aomongsen, rengma, mao, angamikohima, nruanghmei, sangtam, liangmai, sema, yachamtengsa, chokri, khoirao, lushai, maram, tangsamoshang, tangsayogli, nocte, ntenyi, yimchungru, tibetanwritten, puiron, jingpho, wancho, meluri, chang, angamikhonoma, maring	393	U+0070 U+0068
^g	g	ga, gai	dimasa, tibetanwritten, nruanghmei, zeme, jingpho, mzieme, rengma, liangmai, angamikohima, tangsamoshang, angamikhonoma, chang, burmesewritten, chokri, khoirao, manipuri, phom, konyak, tangkhul, tangsayogli, mikir, aochungli, sangtam, meluri, aomongsen, sema	367	U+005e U+0067
^i	i	in, iya	mikir, sema, manipuri, nocte, mao, aochungli, aomongsen, lushai, sangtam, burmesewritten, ntenyi, chang, puiron, tangkhul, konyak, khoirao, tangsamoshang, wancho, kezhama, tangsayogli, yachamtengsa, maram, yimchungru, rengma, tibetanwritten, jingpho, zeme, nruanghmei, phom, dimasa, meluri, maring	350	U+005e U+0069
^j	ʝ	jan, jang	dimasa, konyak, mikir, phom, nruanghmei, aochungli, jingpho, sangtam, nocte, rengma, liangmai, chang, wancho, angamikhonoma, tibetanwritten, angamikohima, ntenyi, puiron, tangkhul, khoirao, mao, manipuri, tangsamoshang, zeme, kezhama, maram, yimchungru, maring	350	U+005e U+006a
^ts	ts	tsü, tso	lotha, aomongsen, rengma, mzieme, sangtam, angamikhonoma, angamikohima, aochungli, jingpho, sema, yimchungru, ntenyi, chokri, tibetanwritten, meluri, wancho, mao, kezhama, phom, tangsamoshang	346	U+005e U+0074 U+0073
gh	gh	aghügha, aghü	sema, ntenyi, mao, mikir, lushai, chang, konyak, maram, khoirao, tangkhul, nruanghmei, kezhama, sangtam, jingpho, mzieme, wancho, phom, maring, manipuri, rengma, lotha, yachamtengsa, dimasa, aomongsen, tangsamoshang	306	U+0067 U+0068
^z	z	zü, ze	lushai, rengma, angamikohima, angamikhonoma, lotha, chokri, aomongsen, mzieme, tangkhul, zeme, sangtam, tibetanwritten, aochungli, nruanghmei, wancho, meluri, ntenyi, sema, yimchungru, mao, kezhama, liangmai	275	U+005e U+007a
^e	e	en, etchakaro	lotha, kezhama, mikir, lushai, sema, aomongsen, konyak, dimasa, phom, tangkhul, meluri, chang, zeme, chokri, manipuri, jingpho, aochungli, burmesewritten, nruanghmei, wancho, sangtam, khoirao, mao, liangmai, ntenyi, rengma, tangsamoshang	269	U+005e U+0065
^w	w	wa, wan	konyak, jingpho, burmesewritten, manipuri, chang, dimasa, khoirao, ntenyi, lotha, tangsamoshang, liangmai, maring, aomongsen, aochungli, tangkhul, tangsayogli, zeme, yachamtengsa, maram, meluri, yimchungru, sema, puiron, wancho, phom, mao	258	U+005e U+0077
^v	v	vü, va	phom, mikir, lushai, lotha, nocte, angamikohima, wancho, angamikhonoma, tangsamoshang, mao, tangkhul, chokri, sema, sangtam, meluri, rengma, tangsayogli, konyak, kezhama, maram, liangmai, ntenyi	249	U+005e U+0076
l$	l	kal, lal	lushai, tibetanwritten, manipuri, maring, tangsamoshang, tangsayogli, dimasa, puiron, mao, mikir, ntenyi, rengma, sangtam, nocte	236	U+006c U+0024
